index,rho,N2,O2,O,He,H,Ar,N,AnomalousOxy,NO,Temperature
2024-05-07 00:00:00,2.6038143e-12,4904167000000.0,52058464000.0,85238350000000.0,2158159600000.0,41085780000.0,299981860.0,4033190800000.0,4092607700.0,2585106000.0,1317.9434
2024-05-07 00:01:00,2.5944225e-12,4810998000000.0,51444388000.0,85035830000000.0,2251860700000.0,41792123000.0,283792260.0,4022131500000.0,3701610800.0,2520666600.0,1307.2106
2024-05-07 00:02:00,2.568536e-12,4609517600000.0,50059084000.0,84450835000000.0,2355016200000.0,42566013000.0,261443330.0,3954370200000.0,3434929000.0,2399175400.0,1295.2205
2024-05-07 00:03:00,2.5282478e-12,4318677400000.0,47917736000.0,83514390000000.0,2466158700000.0,43464937000.0,234780000.0,3846890000000.0,3271498800.0,2226023400.0,1282.4719
2024-05-07 00:04:00,2.475605e-12,3964756300000.0,45087744000.0,82243070000000.0,2583737700000.0,44536480000.0,205874480.0,3716534800000.0,3197824300.0,2010289500.0,1269.3685
2024-05-07 00:05:00,2.4127879e-12,3577809700000.0,41706267000.0,80654750000000.0,2706153700000.0,45805710000.0,176803220.0,3576654200000.0,3206515500.0,1765507700.0,1256.294
2024-05-07 00:06:00,2.3414257e-12,3185027600000.0,37945577000.0,78756500000000.0,2832390000000.0,47270210000.0,149233680.0,3434753600000.0,3295296300.0,1507455400.0,1243.5115
2024-05-07 00:07:00,2.2625838e-12,2807040300000.0,33987516000.0,76550940000000.0,2962485100000.0,48898050000.0,124271650.0,3291940700000.0,3466296000.0,1252345600.0,1231.1295
2024-05-07 00:08:00,2.176871e-12,2457331800000.0,30009561000.0,74040370000000.0,3097932900000.0,50622894000.0,102496430.0,3143951700000.0,3725793300.0,1014649600.0,1219.1031
2024-05-07 00:09:00,2.0846836e-12,2142662200000.0,26166039000.0,71233060000000.0,3241769200000.0,52351455000.0,84051210.0,2983640000000.0,4083788500.0,804934500.0,1207.2515
2024-05-07 00:10:00,1.9866437e-12,1864747300000.0,22579866000.0,68154944000000.0,3398317600000.0,53967487000.0,68784430.0,2803174000000.0,4553745400.0,628991360.0,1195.3011
2024-05-07 00:11:00,1.883704e-12,1621941000000.0,19335434000.0,64847832000000.0,3572705800000.0,55347150000.0,56369056.0,2597392200000.0,5152143000.0,487821630.0,1182.9401
2024-05-07 00:12:00,1.7772144e-12,1410704300000.0,16477853000.0,61367785000000.0,3770260700000.0,56377995000.0,46395852.0,2365743000000.0,5897403000.0,378785860.0,1169.8792
2024-05-07 00:13:00,1.6688007e-12,1226650700000.0,14016579000.0,57777997000000.0,3995310000000.0,56978465000.0,38438256.0,2113420000000.0,6808447000.0,297100030.0,1155.909
2024-05-07 00:14:00,1.5601066e-12,1065399350000.0,11933624000.0,54138690000000.0,4250277200000.0,57108087000.0,32095670.0,1850418400000.0,7902246400.0,237320300.0,1140.9467
2024-05-07 00:15:00,1.4527351e-12,923183740000.0,10194621000.0,50505963000000.0,4534243000000.0,56784105000.0,27020138.0,1589431900000.0,9190383000.0,194321620.0,1125.0695
2024-05-07 00:16:00,1.3482808e-12,797268640000.0,8758495000.0,46935034000000.0,4842160000000.0,56075846000.0,22928772.0,1342947100000.0,10674744000.0,163808850.0,1108.5253
2024-05-07 00:17:00,1.2482468e-12,686046700000.0,7585585000.0,43479225000000.0,5164015600000.0,55095796000.0,19607112.0,1120863800000.0,12342575000.0,142433150.0,1091.719
2024-05-07 00:18:00,1.1542237e-12,588860000000.0,6641315300.0,40198046000000.0,5485286700000.0,53987578000.0,16900494.0,929147450000.0,14161308000.0,127690650.0,1075.1724
2024-05-07 00:19:00,1.0676842e-12,505540740000.0,5897054000.0,37150213000000.0,5788002000000.0,52902830000.0,14700626.0,769631200000.0,16075385000.0,117740584.0,1059.4622
2024-05-07 00:20:00,9.899035e-13,435935000000.0,5329357000.0,34390114000000.0,6053388400000.0,51986756000.0,12929986.0,640833300000.0,18004677000.0,111200550.0,1045.1495
2024-05-07 00:21:00,9.217171e-13,379554500000.0,4918367000.0,31957455000000.0,6264809000000.0,51364856000.0,11527240.0,539188900000.0,19848028000.0,106984120.0,1032.709
2024-05-07 00:22:00,8.634115e-13,335440100000.0,4645967000.0,29871655000000.0,6411279000000.0,51134260000.0,10436039.0,460065800000.0,21490573000.0,104153700.0,1022.46716
2024-05-07 00:23:00,8.1468724e-13,302261530000.0,4494565400.0,28128836000000.0,6489589000000.0,51365495000.0,9600388.0,398757760000.0,22816025000.0,101852960.0,1014.5632
2024-05-07 00:24:00,7.747059e-13,278456570000.0,4445265400.0,26702920000000.0,6504687000000.0,52100125000.0,8960814.0,350874040000.0,23721610000.0,99284160.0,1008.928
2024-05-07 00:25:00,7.421712e-13,262343620000.0,4474824700.0,25548286000000.0,6469446000000.0,53354066000.0,8452477.0,312622150000.0,24133069000.0,95755930.0,1005.26697
2024-05-07 00:26:00,7.141288e-13,251248280000.0,4533705700.0,24557983000000.0,6398548000000.0,55131574000.0,7962916.5,280445580000.0,24016024000.0,90414350.0,1002.6461
2024-05-07 00:27:00,6.9016066e-13,244288830000.0,4601031700.0,23713808000000.0,6314692400000.0,57382654000.0,7469952.0,252494890000.0,23382008000.0,83474860.0,1000.7891
2024-05-07 00:28:00,6.697275e-13,240428320000.0,4651082000.0,22992935000000.0,6239642000000.0,60028203000.0,6953079.5,227507860000.0,22286133000.0,75440720.0,999.30615
2024-05-07 00:29:00,6.520775e-13,238366670000.0,4652892000.0,22365398000000.0,6191722000000.0,62969033000.0,6392649.0,204738300000.0,20817900000.0,66922330.0,997.65753
2024-05-07 00:30:00,6.36808e-13,236940740000.0,4583064600.0,21814695000000.0,6184902000000.0,66082660000.0,5789705.0,183999000000.0,19087989000.0,58599580.0,995.36755
2024-05-07 00:31:00,6.2390723e-13,235219500000.0,4431332000.0,21339465000000.0,6228258000000.0,69232270000.0,5163618.0,165497780000.0,17212785000.0,51058540.0,992.08044
2024-05-07 00:32:00,6.1368104e-13,232600800000.0,4203200800.0,20950945000000.0,6325329700000.0,72283310000.0,4545178.5,149623900000.0,15300844000.0,44691344.0,987.58923
2024-05-07 00:33:00,6.066298e-13,228852320000.0,3917492700.0,20668526000000.0,6473651000000.0,75113520000.0,3966712.8,136769765000.0,13442738000.0,39686980.0,981.8506
2024-05-07 00:34:00,6.033609e-13,224098070000.0,3600758000.0,20516805000000.0,6663859300000.0,77633570000.0,3454214.2,127251366000.0,11706216000.0,36080910.0,974.9745
2024-05-07 00:35:00,6.043831e-13,218747290000.0,3280445700.0,20517965000000.0,6879769500000.0,79785610000.0,3023438.5,121289150000.0,10135157000.0,33822356.0,967.20197
2024-05-07 00:36:00,6.1002077e-13,213346100000.0,2979227600.0,20688850000000.0,7098212500000.0,81550720000.0,2679645.8,119049080000.0,8752062000.0,32833528.0,958.865
2024-05-07 00:37:00,6.202683e-13,208474180000.0,2712527600.0,21035156000000.0,7290720600000.0,82941540000.0,2420491.5,120701940000.0,7562586000.0,33043814.0,950.3438
2024-05-07 00:38:00,6.3473434e-13,204629080000.0,2488352000.0,21548710000000.0,7426832000000.0,83988620000.0,2239194.0,126449180000.0,6560257500.0,34399924.0,942.0202
2024-05-07 00:39:00,6.526375e-13,202190100000.0,2308896000.0,22206155000000.0,7478965000000.0,84731780000.0,2127465.2,136506835000.0,5731199000.0,36857130.0,934.23883
2024-05-07 00:40:00,6.727719e-13,201401270000.0,2172607500.0,22966409000000.0,7427682500000.0,85212350000.0,2077289.1,151035970000.0,5057948700.0,40357384.0,927.28107
2024-05-07 00:41:00,6.936523e-13,202395400000.0,2076031100.0,23775066000000.0,7266347000000.0,85455650000.0,2081769.5,169976970000.0,4522334000.0,44801760.0,921.34924
2024-05-07 00:42:00,7.136514e-13,205213560000.0,2015076700.0,24569365000000.0,7002506000000.0,85478570000.0,2135180.8,192858310000.0,4107419100.0,50031170.0,916.56903
2024-05-07 00:43:00,7.312098e-13,209825400000.0,1985732500.0,25286555000000.0,6656385000000.0,85285780000.0,2232547.5,218605910000.0,3798734300.0,55828188.0,913.00024
2024-05-07 00:44:00,7.450702e-13,216162840000.0,1984694300.0,25873854000000.0,6256385300000.0,84877280000.0,2369432.2,245508080000.0,3584947000.0,61944440.0,910.663
2024-05-07 00:45:00,7.5454156e-13,224139400000.0,2009484800.0,26299637000000.0,5833241400000.0,84248170000.0,2541638.2,271388230000.0,3458345200.0,68158824.0,909.5619
2024-05-07 00:46:00,7.596132e-13,233680800000.0,2058726100.0,26558587000000.0,5414870600000.0,83406040000.0,2745407.8,294042500000.0,3415141000.0,74333420.0,909.7136
2024-05-07 00:47:00,7.6100226e-13,244771470000.0,2132356400.0,26673810000000.0,5022770300000.0,82359470000.0,2978263.0,311799020000.0,3455806500.0,80464760.0,911.16785
2024-05-07 00:48:00,7.600414e-13,257480920000.0,2231754500.0,26692456000000.0,4670977700000.0,81128450000.0,3239891.2,323948640000.0,3585637600.0,86699760.0,914.0158
2024-05-07 00:49:00,7.5855744e-13,272096000000.0,2360759800.0,26680716000000.0,4366126300000.0,79742860000.0,3535253.0,330923440000.0,3815595800.0,93350180.0,918.42346
2024-05-07 00:50:00,7.586743e-13,289231100000.0,2526799600.0,26716112000000.0,4108570900000.0,78227060000.0,3877918.2,334134100000.0,4163508200.0,100904850.0,924.6518
2024-05-07 00:51:00,7.613702e-13,308919800000.0,2731503000.0,26835136000000.0,3893972200000.0,76619784000.0,4272928.0,335076330000.0,4655905000.0,109642660.0,932.707
2024-05-07 00:52:00,7.678634e-13,331743170000.0,2982050000.0,27082927000000.0,3714718000000.0,74937730000.0,4739534.0,335525400000.0,5330461700.0,120018810.0,942.74207
2024-05-07 00:53:00,7.7885485e-13,358408850000.0,3286827800.0,27485680000000.0,3561092500000.0,73178110000.0,5304660.5,336975400000.0,6239351000.0,132501500.0,954.8674
2024-05-07 00:54:00,7.945262e-13,389776770000.0,3655887600.0,28050385000000.0,3422381700000.0,71317830000.0,6005829.5,340494650000.0,7453480400.0,147587100.0,969.12726
2024-05-07 00:55:00,8.145793e-13,426905670000.0,4101437400.0,28766007000000.0,3287836300000.0,69320440000.0,6895659.0,346688200000.0,9067715000.0,165851520.0,985.4825
2024-05-07 00:56:00,8.3835613e-13,471172580000.0,4639717000.0,29607303000000.0,3148208700000.0,67141243000.0,8050195.0,355795080000.0,11206834000.0,188054980.0,1003.80005
2024-05-07 00:57:00,8.6499335e-13,524402230000.0,5292994600.0,30540187000000.0,2996419200000.0,64743563000.0,9581637.0,367786600000.0,14031607000.0,215304080.0,1023.86053
2024-05-07 00:58:00,8.935044e-13,588981100000.0,6092329500.0,31524194000000.0,2828665000000.0,62102470000.0,11656981.0,382482300000.0,17743569000.0,249267540.0,1045.3707
2024-05-07 00:59:00,9.230124e-13,667875300000.0,7079286000.0,32521018000000.0,2644593300000.0,59218670000.0,14523016.0,399720380000.0,22587316000.0,292399420.0,1067.988
2024-05-07 01:00:00,9.52623e-13,764531970000.0,8307063300.0,33489873000000.0,2447216500000.0,56120422000.0,18540318.0,419430330000.0,28844745000.0,348199300.0,1091.3455
2024-05-07 01:01:00,9.815251e-13,882483000000.0,9838210000.0,34392118000000.0,2241868300000.0,52861410000.0,24218918.0,441807300000.0,36820650000.0,421432500.0,1115.0643
2024-05-07 01:02:00,1.008972e-12,1024894760000.0,11741816000.0,35191480000000.0,2035399100000.0,49518660000.0,32257920.0,467392630000.0,46810264000.0,518307840.0,1138.7758
2024-05-07 01:03:00,1.0344389e-12,1193882600000.0,14086717000.0,35861446000000.0,1834916900000.0,46182916000.0,43566052.0,497206760000.0,59049587000.0,646559600.0,1162.1294
2024-05-07 01:04:00,1.0578205e-12,1389958100000.0,16935003000.0,36393913000000.0,1646767200000.0,42948010000.0,59249188.0,532854180000.0,73645695000.0,815180540.0,1184.8048
2024-05-07 01:05:00,1.0794989e-12,1611590800000.0,20334120000.0,36802760000000.0,1475973600000.0,39898698000.0,80531400.0,576563000000.0,90491290000.0,1033549800.0,1206.5227
2024-05-07 01:06:00,1.1004728e-12,1855124000000.0,24309008000.0,37128948000000.0,1325883300000.0,37103972000.0,108585950.0,631222240000.0,109181850000.0,1309599500.0,1227.0483
2024-05-07 01:07:00,1.1222373e-12,2115048700000.0,28856099000.0,37435665000000.0,1198201400000.0,34612770000.0,144272580.0,700327260000.0,128958930000.0,1646791000.0,1246.1936
2024-05-07 01:08:00,1.146549e-12,2384327900000.0,33933636000.0,37799076000000.0,1093279400000.0,32451752000.0,187790580.0,787777650000.0,148698320000.0,2040046000.0,1263.8064
2024-05-07 01:09:00,1.1752251e-12,2655139000000.0,39455617000.0,38299530000000.0,1010537270000.0,30629147000.0,238343540.0,897532800000.0,166985560000.0,2471753500.0,1279.7727
2024-05-07 01:10:00,1.2098938e-12,2919166000000.0,45283050000.0,39012115000000.0,948797830000.0,29136755000.0,293903230.0,1032907060000.0,182271360000.0,2909896200.0,1294.0057
2024-05-07 01:11:00,1.2518294e-12,3168025400000.0,51217990000.0,40000184000000.0,906673500000.0,27956083000.0,351200580.0,1195580700000.0,193090980000.0,3310708700.0,1306.4459
2024-05-07 01:12:00,1.3017007e-12,3393314400000.0,57000735000.0,41306950000000.0,882760900000.0,27060077000.0,405988670.0,1384085500000.0,198324100000.0,3626756600.0,1317.0569
2024-05-07 01:13:00,1.3586169e-12,3582705500000.0,62236560000.0,42927984000000.0,875695200000.0,26423527000.0,452859200.0,1591768100000.0,197394960000.0,3814254800.0,1325.5671
2024-05-07 01:14:00,1.4222303e-12,3730600600000.0,66620867000.0,44870438000000.0,884363000000.0,26014734000.0,487880670.0,1807648400000.0,190396740000.0,3856358100.0,1332.1525
2024-05-07 01:15:00,1.4917446e-12,3834453400000.0,69907170000.0,47121965000000.0,907779440000.0,25802945000.0,508764930.0,2016694000000.0,178067390000.0,3762963500.0,1337.121
2024-05-07 01:16:00,1.5650719e-12,3890981600000.0,71856955000.0,49624500000000.0,944796500000.0,25764366000.0,514420320.0,2201459400000.0,161651430000.0,3561897700.0,1340.6268
2024-05-07 01:17:00,1.6397624e-12,3900067500000.0,72344730000.0,52298538000000.0,994125100000.0,25881467000.0,505620580.0,2346631300000.0,142667780000.0,3292672800.0,1342.8635
2024-05-07 01:18:00,1.7132827e-12,3865653500000.0,71398064000.0,55048374000000.0,1054161500000.0,26142212000.0,484807870.0,2443305500000.0,122659800000.0,2996155400.0,1344.0619
2024-05-07 01:19:00,1.7834561e-12,3796052700000.0,69202850000.0,57776278000000.0,1122918200000.0,26540761000.0,455538460.0,2491498000000.0,102984794000.0,2706442000.0,1344.4805
2024-05-07 01:20:00,1.8489912e-12,3703519300000.0,66079117000.0,60403390000000.0,1198071200000.0,27076751000.0,421809500.0,2500006200000.0,84677124000.0,2447438600.0,1344.3848
2024-05-07 01:21:00,1.909581e-12,3603096700000.0,62426853000.0,62877720000000.0,1277086500000.0,27751786000.0,387404670.0,2483959000000.0,68397670000.0,2233076200.0,1344.0347
2024-05-07 01:22:00,1.9661451e-12,3510972000000.0,58659095000.0,65189513000000.0,1357416400000.0,28566569000.0,355439100.0,2461112500000.0,54459343000.0,2069558000.0,1343.663
2024-05-07 01:23:00,2.020622e-12,3442865000000.0,55143576000.0,67368957000000.0,1436851400000.0,29519143000.0,328145950.0,2448600000000.0,42895417000.0,1958206600.0,1343.4573
2024-05-07 01:24:00,2.0754373e-12,3412297000000.0,52158652000.0,69471218000000.0,1513701100000.0,30600438000.0,306830500.0,2460691500000.0,33548038000.0,1897439600.0,1343.5325
2024-05-07 01:25:00,2.132887e-12,3429577500000.0,49878780000.0,71555620000000.0,1586960400000.0,31789896000.0,292018080.0,2507921200000.0,26149822000.0,1884242400.0,1343.9048
2024-05-07 01:26:00,2.1945327e-12,3501035400000.0,48379482000.0,73664620000000.0,1656417600000.0,33057160000.0,283617660.0,2596502200000.0,20391156000.0,1914282100.0,1344.472
2024-05-07 01:27:00,2.2605364e-12,3627822400000.0,47646500000.0,75801070000000.0,1722457100000.0,34360332000.0,281025900.0,2728126000000.0,15965412000.0,1981715200.0,1345.004
2024-05-07 01:28:00,2.3294628e-12,3805561700000.0,47600017000.0,77921700000000.0,1786071700000.0,35649860000.0,283243100.0,2899487200000.0,12595544000.0,2078678800.0,1345.1686
2024-05-07 01:29:00,2.3984716e-12,4022950700000.0,48104120000.0,79947520000000.0,1848577100000.0,36875030000.0,288866620.0,3101488600000.0,10046239000.0,2194722000.0,1344.5698
2024-05-07 01:30:00,2.4635517e-12,4261544700000.0,48983370000.0,81772840000000.0,1911549100000.0,37991375000.0,296146700.0,3319485200000.0,8126216700.0,2316955100.0,1342.8197
2024-05-07 01:31:00,2.520386e-12,4495870000000.0,50029650000.0,83296705000000.0,1976547000000.0,38969350000.0,303027260.0,3534368000000.0,6684851000.0,2430890800.0,1339.5887
2024-05-07 01:32:00,2.5648511e-12,4695982000000.0,51021136000.0,84434710000000.0,2045092000000.0,39801467000.0,307364380.0,3725326500000.0,5606557000.0,2521813500.0,1334.6628
2024-05-07 01:33:00,2.5936926e-12,4831539000000.0,51737006000.0,85133970000000.0,2118547700000.0,40504275000.0,307185660.0,3873749600000.0,4804249000.0,2576495600.0,1327.9652
2024-05-07 01:34:00,2.6050574e-12,4876957400000.0,51975328000.0,85380680000000.0,2197969700000.0,41120096000.0,301009570.0,3967159600000.0,4213454000.0,2584358000.0,1319.5602
2024-05-07 01:35:00,2.5985338e-12,4817215300000.0,51579593000.0,85189390000000.0,2284240800000.0,41707467000.0,288171260.0,4001410000000.0,3787188200.0,2538620000.0,1309.6403
2024-05-07 01:36:00,2.575227e-12,4650794000000.0,50450915000.0,84600880000000.0,2377891000000.0,42335707000.0,268938400.0,3980600000000.0,3491890400.0,2436911000.0,1298.4979
2024-05-07 01:37:00,2.5375355e-12,4391464000000.0,48581968000.0,83672200000000.0,2479117300000.0,43070034000.0,244598510.0,3915112000000.0,3304315400.0,2282307000.0,1286.5619
2024-05-07 01:38:00,2.4875635e-12,4060446000000.0,46000220000.0,82435180000000.0,2588499800000.0,43967373000.0,216806720.0,3816421900000.0,3209238000.0,2080942100.0,1274.106
2024-05-07 01:39:00,2.427581e-12,3685639500000.0,42815570000.0,80916605000000.0,2706312800000.0,45060860000.0,187603860.0,3695359800000.0,3197854700.0,1844560100.0,1261.4491
2024-05-07 01:40:00,2.3593302e-12,3294794000000.0,39187330000.0,79126820000000.0,2832996800000.0,46353924000.0,158919120.0,3559072200000.0,3266697500.0,1588310300.0,1248.842
2024-05-07 01:41:00,2.283865e-12,2911240200000.0,35302244000.0,77061590000000.0,2969016000000.0,47814160000.0,132283590.0,3410447800000.0,3416881000.0,1329286500.0,1236.4451
2024-05-07 01:42:00,2.2016135e-12,2551832400000.0,31351726000.0,74707850000000.0,3114945200000.0,49371450000.0,108699400.0,3248518300000.0,3653618400.0,1083600600.0,1224.3242
2024-05-07 01:43:00,2.1128752e-12,2226856400000.0,27512880000.0,72061160000000.0,3271509700000.0,50920505000.0,88645820.0,3070050400000.0,3986046700.0,864029060.0,1212.4633
2024-05-07 01:44:00,2.0179483e-12,1940744600000.0,23929299000.0,69127452000000.0,3439092600000.0,52332454000.0,72163496.0,2871770700000.0,4426810400.0,678269400.0,1200.7852
2024-05-07 01:45:00,1.9176984e-12,1693720600000.0,20702382000.0,65939850000000.0,3617936000000.0,53474550000.0,58994630.0,2652298000000.0,4991685000.0,528597380.0,1189.1779
2024-05-07 01:46:00,1.8133771e-12,1483046500000.0,17886583000.0,62548494000000.0,3807400400000.0,54228996000.0,48707948.0,2413725200000.0,5698737700.0,412988700.0,1177.5278
2024-05-07 01:47:00,1.7067898e-12,1304369700000.0,15494694000.0,59024184000000.0,4005866000000.0,54523430000.0,40810016.0,2161889200000.0,6566942700.0,326784640.0,1165.7483
2024-05-07 01:48:00,1.5999117e-12,1152664900000.0,13507038000.0,55443074000000.0,4210414800000.0,54344704000.0,34818430.0,1905654600000.0,7614039600.0,264366560.0,1153.7969
2024-05-07 01:49:00,1.4946517e-12,1022868300000.0,11882793000.0,51878306000000.0,4416395500000.0,53740356000.0,30299890.0,1655071300000.0,8853304000.0,220342910.0,1141.6929
2024-05-07 01:50:00,1.3927792e-12,910504700000.0,10571966000.0,48397596000000.0,4617984300000.0,52822980000.0,26889428.0,1419582800000.0,10289522000.0,190151460.0,1129.5184
2024-05-07 01:51:00,1.2958275e-12,811995040000.0,9523788000.0,45060410000000.0,4808354300000.0,51742003000.0,24290972.0,1206408700000.0,11913945000.0,170199040.0,1117.4132
2024-05-07 01:52:00,1.2050418e-12,724776260000.0,8691569000.0,41916184000000.0,4980760600000.0,50668810000.0,22268912.0,1019789200000.0,13699508000.0,157745390.0,1105.552
2024-05-07 01:53:00,1.121406e-12,647219250000.0,8035002400.0,39005230000000.0,5129576000000.0,49771850000.0,20637696.0,860996960000.0,15596407000.0,150658690.0,1094.1166
2024-05-07 01:54:00,1.0455979e-12,578414400000.0,7519890400.0,36356680000000.0,5251460000000.0,49199610000.0,19252522.0,728817660000.0,17530595000.0,147165390.0,1083.2642
2024-05-07 01:55:00,9.779263e-13,517819530000.0,7116339000.0,33985837000000.0,5345946000000.0,49071796000.0,17998500.0,620438500000.0,19405711000.0,145631070.0,1073.0979
2024-05-07 01:56:00,9.183329e-13,465014130000.0,6797107000.0,31893880000000.0,5415993000000.0,49472147000.0,16786980.0,532174340000.0,21109264000.0,144449040.0,1063.6467
2024-05-07 01:57:00,8.663736e-13,419488140000.0,6535856600.0,30067005000000.0,5467686000000.0,50451790000.0,15551923.0,460188160000.0,22523860000.0,142071090.0,1054.8566
2024-05-07 01:58:00,8.213207e-13,380577600000.0,6306332700.0,28480190000000.0,5509383000000.0,52024650000.0,14251312.0,400885060000.0,23542125000.0,137195070.0,1046.5945
2024-05-07 01:59:00,7.82236e-13,347446500000.0,6082212400.0,27100008000000.0,5550806000000.0,54168130000.0,12867921.0,351164860000.0,24081203000.0,129046744.0,1038.6575
2024-05-07 02:00:00,7.469809e-13,318256300000.0,5819846700.0,25849793000000.0,5599943000000.0,56830996000.0,11364172.0,308204340000.0,24096227000.0,117260230.0,1030.4484
2024-05-07 02:01:00,7.1470623e-13,292278670000.0,5502519000.0,24697966000000.0,5666205000000.0,59911803000.0,9794982.0,270384510000.0,23587205000.0,102747660.0,1021.73285
2024-05-07 02:02:00,6.858115e-13,269675630000.0,5141951000.0,23657307000000.0,5759500300000.0,63249674000.0,8272753.0,237059100000.0,22598736000.0,87291250.0,1012.6877
2024-05-07 02:03:00,6.600111e-13,249890590000.0,4742917000.0,22716887000000.0,5885914000000.0,66668515000.0,6863011.0,207714530000.0,21213114000.0,72385224.0,1003.2553
2024-05-07 02:04:00,6.3726737e-13,232497450000.0,4318697000.0,21875235000000.0,6048637000000.0,69982224000.0,5616327.5,182205100000.0,19537144000.0,59165660.0,993.45306
2024-05-07 02:05:00,6.177885e-13,217234440000.0,3888636200.0,21140574000000.0,6247343000000.0,73017160000.0,4561695.5,160560790000.0,17687208000.0,48253090.0,983.38385
2024-05-07 02:06:00,6.020176e-13,203998350000.0,3473900300.0,20530627000000.0,6477693000000.0,75645520000.0,3705871.2,142853650000.0,15774896000.0,39790364.0,973.22986
2024-05-07 02:07:00,5.904874e-13,192809170000.0,3093320700.0,20067585000000.0,6730372000000.0,77796780000.0,3037666.2,129118585000.0,13895908000.0,33615348.0,963.2308
2024-05-07 02:08:00,5.837703e-13,183769630000.0,2760648400.0,19776300000000.0,6991112000000.0,79467650000.0,2535146.2,119326876000.0,12123950000.0,29431168.0,953.65643
2024-05-07 02:09:00,5.823259e-13,177011500000.0,2483494400.0,19678550000000.0,7240987000000.0,80717260000.0,2172362.0,113433990000.0,10508667000.0,26938064.0,944.77277
2024-05-07 02:10:00,5.864565e-13,172654740000.0,2263820500.0,19791130000000.0,7457362000000.0,81641910000.0,1924467.4,111421430000.0,9077544000.0,25903486.0,936.81134
2024-05-07 02:11:00,5.9617583e-13,170768940000.0,2099350000.0,20120378000000.0,7616247000000.0,82351700000.0,1770383.4,113348600000.0,7840018000.0,26183432.0,929.93835
2024-05-07 02:12:00,6.111359e-13,171347120000.0,1985075500.0,20658640000000.0,7695392000000.0,82947020000.0,1693719.0,119368130000.0,6792143400.0,27714032.0,924.2378
2024-05-07 02:13:00,6.305805e-13,174296020000.0,1914604800.0,21381654000000.0,7677994000000.0,83497870000.0,1682418.9,129696310000.0,5921422300.0,30485740.0,919.7082
2024-05-07 02:14:00,6.532939e-13,179419170000.0,1880843600.0,22245831000000.0,7556225000000.0,84031660000.0,1727494.5,144509170000.0,5211045400.0,34492290.0,916.26776
2024-05-07 02:15:00,6.776193e-13,186424080000.0,1876607600.0,23188675000000.0,7332869700000.0,84530780000.0,1821659.1,163793700000.0,4642789400.0,39674548.0,913.7771
2024-05-07 02:16:00,7.016199e-13,194934180000.0,1894919000.0,24134931000000.0,7021606000000.0,84941050000.0,1957817.4,187118810000.0,4199269600.0,45867264.0,912.06964
2024-05-07 02:17:00,7.23295e-13,204524260000.0,1929441500.0,25005526000000.0,6644258000000.0,85181006000.0,2128082.0,213450400000.0,3865295600.0,52773684.0,910.98865
2024-05-07 02:18:00,7.409175e-13,214782660000.0,1975052500.0,25731059000000.0,6227321400000.0,85167470000.0,2323642.0,241087430000.0,3628713700.0,59997810.0,910.423
2024-05-07 02:19:00,7.53347e-13,225371830000.0,2028329900.0,26264465000000.0,5797502000000.0,84830160000.0,2535372.5,267835420000.0,3480872000.0,67130430.0,910.3365
2024-05-07 02:20:00,7.6032523e-13,236116870000.0,2088317300.0,26592506000000.0,5378096500000.0,84134806000.0,2755896.8,291423550000.0,3416978700.0,73872580.0,910.7905
2024-05-07 02:21:00,7.6249396e-13,247067100000.0,2156781000.0,26736314000000.0,4987022000000.0,83083850000.0,2981753.8,310070440000.0,3436390100.0,80132610.0,911.94745
2024-05-07 02:22:00,7.6131636e-13,258530560000.0,2238383400.0,26748314000000.0,4635679500000.0,81728725000.0,3215511.5,322934300000.0,3543160800.0,86064400.0,914.062
2024-05-07 02:23:00,7.587461e-13,271063740000.0,2340357400.0,26699478000000.0,4329309000000.0,80148850000.0,3466777.5,330280930000.0,3746694700.0,92051360.0,917.4567
2024-05-07 02:24:00,7.574928e-13,285873930000.0,2476494800.0,26688352000000.0,4068130700000.0,78432330000.0,3760930.8,333521030000.0,4062982400.0,98787250.0,922.6415
2024-05-07 02:25:00,7.587719e-13,303437350000.0,2653605000.0,26759580000000.0,3847995500000.0,76679390000.0,4113852.2,334094140000.0,4516171000.0,106725320.0,929.7929
2024-05-07 02:26:00,7.6395785e-13,324712140000.0,2883725800.0,26963333000000.0,3662088000000.0,74955840000.0,4555425.0,333747200000.0,5140824600.0,116484750.0,939.1899
2024-05-07 02:27:00,7.7387863e-13,350728700000.0,3180386000.0,27329820000000.0,3501440400000.0,73285460000.0,5124098.0,333983380000.0,5985214500.0,128687720.0,951.0368
2024-05-07 02:28:00,7.887141e-13,382535900000.0,3558088700.0,27865404000000.0,3356018600000.0,71644774000.0,5868593.5,335923120000.0,7115037000.0,143946270.0,965.4206
2024-05-07 02:29:00,8.080701e-13,421245000000.0,4032898600.0,28555090000000.0,3215863800000.0,69964505000.0,6853223.0,340245280000.0,8618610000.0,162891680.0,982.2926
2024-05-07 02:30:00,8.311384e-13,468107720000.0,4623299000.0,29368036000000.0,3072047200000.0,68145890000.0,8166500.5,347302850000.0,10612704000.0,186264510.0,1001.46423
2024-05-07 02:31:00,8.5694917e-13,524708050000.0,5352636400.0,30266324000000.0,2917902800000.0,66081157000.0,9935784.0,357230640000.0,13248471000.0,215062370.0,1022.62054
2024-05-07 02:32:00,8.8452276e-13,593110040000.0,6251557400.0,31210097000000.0,2749757000000.0,63674323000.0,12348011.0,370073800000.0,16717094000.0,250749140.0,1045.3484
